order_item_id,order_id,product_id,quantity,unit_price,discount_amount,total_amount
ITM-0000037,ORD-2022-000023,PROD-0053,1,136.39,0.0,136.39
ITM-0000038,ORD-2024-000024,PROD-0087,4,36.36,14.54,130.9
ITM-0000039,ORD-2024-000024,PROD-0002,1,68.46,0.0,68.46
ITM-0000040,ORD-2023-000025,PROD-0114,1,303.99,0.0,303.99
ITM-0000041,ORD-2022-000026,PROD-0087,1,36.36,3.64,32.72
ITM-0000042,ORD-2022-000026,PROD-0009,1,84.16,0.0,84.16
ITM-0000043,ORD-2022-000026,PROD-0115,1,449.64,0.0,449.64
ITM-0000044,ORD-2022-000027,PROD-0110,1,79.62,0.0,79.62
ITM-0000045,ORD-2022-000027,PROD-0040,4,141.98,113.58,454.34
ITM-0000046,ORD-2023-000028,PROD-0053,2,136.39,0.0,272.78
ITM-0000047,ORD-2024-000029,PROD-0100,1,1776.0,177.6,1598.4
ITM-0000048,ORD-2024-000029,PROD-0072,1,109.03,0.0,109.03
ITM-0000049,ORD-2023-000030,PROD-0051,3,91.76,0.0,275.28
ITM-0000050,ORD-2023-000031,PROD-0002,1,68.46,0.0,68.46
ITM-0000051,ORD-2022-000032,PROD-0012,1,996.63,498.31,498.32
ITM-0000052,ORD-2022-000033,PROD-0054,1,198.57,0.0,198.57
ITM-0000053,ORD-2024-000034,PROD-0008,3,33.25,0.0,99.75
ITM-0000054,ORD-2022-000035,PROD-0030,1,43.3,0.0,43.3
ITM-0000055,ORD-2022-000035,PROD-0034,3,141.01,0.0,423.03
ITM-0000056,ORD-2024-000036,PROD-0089,1,463.28,0.0,463.28
ITM-0000057,ORD-2024-000037,PROD-0051,1,91.76,0.0,91.76
ITM-0000058,ORD-2024-000038,PROD-0025,1,123.97,18.6,105.37
ITM-0000059,ORD-2022-000039,PROD-0013,2,323.93,97.18,550.68
ITM-0000060,ORD-2023-000040,PROD-0002,1,68.46,0.0,68.46
ITM-0000061,ORD-2023-000041,PROD-0076,1,544.84,54.48,490.36
ITM-0000062,ORD-2023-000042,PROD-0012,1,996.63,0.0,996.63
ITM-0000063,ORD-2023-000042,PROD-0063,1,534.07,0.0,534.07
ITM-0000064,ORD-2023-000042,PROD-0025,1,123.97,0.0,123.97
ITM-0000065,ORD-2023-000042,PROD-0036,1,69.89,0.0,69.89
ITM-0000066,ORD-2023-000042,PROD-0008,1,33.25,0.0,33.25
ITM-0000067,ORD-2022-000043,PROD-0030,4,43.3,86.6,86.6
ITM-0000068,ORD-2022-000044,PROD-0033,2,131.78,0.0,263.56
ITM-0000069,ORD-2024-000045,PROD-0036,1,69.89,0.0,69.89
ITM-0000070,ORD-2024-000045,PROD-0009,3,84.16,37.87,214.61
ITM-0000071,ORD-2024-000045,PROD-0020,1,74.18,11.13,63.05
ITM-0000072,ORD-2024-000045,PROD-0008,1,33.25,0.0,33.25
ITM-0000073,ORD-2022-000046,PROD-0052,1,552.66,0.0,552.66
ITM-0000074,ORD-2023-000047,PROD-0072,1,109.03,0.0,109.03
ITM-0000075,ORD-2023-000047,PROD-0034,1,141.01,0.0,141.01
ITM-0000076,ORD-2023-000048,PROD-0042,1,227.01,113.5,113.51
ITM-0000077,ORD-2023-000048,PROD-0104,1,36.2,0.0,36.2
ITM-0000078,ORD-2024-000049,PROD-0072,1,109.03,54.52,54.51
ITM-0000079,ORD-2022-000050,PROD-0110,1,79.62,15.92,63.7
ITM-0000080,ORD-2024-000051,PROD-0020,1,74.18,0.0,74.18
ITM-0000081,ORD-2024-000051,PROD-0079,2,1257.72,0.0,2515.44
ITM-0000082,ORD-2023-000052,PROD-0030,1,43.3,0.0,43.3
ITM-0000083,ORD-2022-000053,PROD-0071,1,600.46,0.0,600.46
ITM-0000084,ORD-2022-000053,PROD-0008,1,33.25,0.0,33.25
ITM-0000085,ORD-2022-000053,PROD-0058,1,130.71,0.0,130.71
ITM-0000086,ORD-2023-000054,PROD-0032,1,741.49,0.0,741.49
ITM-0000087,ORD-2023-000054,PROD-0116,1,101.98,0.0,101.98
ITM-0000088,ORD-2022-000055,PROD-0119,1,25.67,0.0,25.67
ITM-0000089,ORD-2024-000056,PROD-0002,1,68.46,0.0,68.46
ITM-0000090,ORD-2024-000057,PROD-0056,5,327.37,0.0,1636.85
ITM-0000091,ORD-2024-000058,PROD-0089,1,463.28,0.0,463.28
ITM-0000092,ORD-2024-000058,PROD-0024,1,615.71,307.86,307.85
ITM-0000093,ORD-2024-000058,PROD-0004,1,976.94,488.47,488.47
ITM-0000094,ORD-2023-000059,PROD-0097,1,131.35,65.67,65.68
ITM-0000095,ORD-2023-000059,PROD-0100,1,1776.0,266.4,1509.6
ITM-0000096,ORD-2024-000060,PROD-0013,1,323.93,0.0,323.93
ITM-0000097,ORD-2022-000061,PROD-0002,1,68.46,0.0,68.46
ITM-0000098,ORD-2022-000061,PROD-0053,1,136.39,13.64,122.75
ITM-0000099,ORD-2022-000061,PROD-0002,1,68.46,0.0,68.46
ITM-0000100,ORD-2023-000062,PROD-0048,1,52.23,0.0,52.23
ITM-0000101,ORD-2024-000063,PROD-0051,1,91.76,0.0,91.76
ITM-0000102,ORD-2022-000064,PROD-0071,1,600.46,0.0,600.46
ITM-0000103,ORD-2023-000065,PROD-0051,2,91.76,0.0,183.52
ITM-0000104,ORD-2023-000066,PROD-0098,1,78.86,7.89,70.97
ITM-0000105,ORD-2023-000067,PROD-0119,1,25.67,0.0,25.67
ITM-0000106,ORD-2023-000068,PROD-0119,1,25.67,12.84,12.83
ITM-0000107,ORD-2024-000069,PROD-0089,1,463.28,0.0,463.28
ITM-0000108,ORD-2024-000069,PROD-0082,1,99.37,0.0,99.37
ITM-0000109,ORD-2024-000070,PROD-0053,1,136.39,0.0,136.39
ITM-0000110,ORD-2023-000071,PROD-0007,1,270.71,40.61,230.1
ITM-0000111,ORD-2023-000071,PROD-0008,1,33.25,0.0,33.25
ITM-0000112,ORD-2023-000071,PROD-0097,1,131.35,0.0,131.35
ITM-0000113,ORD-2022-000072,PROD-0069,1,139.6,0.0,139.6
ITM-0000114,ORD-2023-000073,PROD-0069,1,139.6,0.0,139.6
ITM-0000115,ORD-2023-000074,PROD-0093,1,207.01,0.0,207.01
ITM-0000116,ORD-2023-000075,PROD-0010,4,31.53,18.92,107.2
ITM-0000117,ORD-2023-000075,PROD-0048,1,52.23,0.0,52.23
ITM-0000118,ORD-2023-000075,PROD-0010,5,31.53,0.0,157.65
ITM-0000119,ORD-2022-000076,PROD-0009,1,84.16,0.0,84.16
ITM-0000120,ORD-2024-000077,PROD-0067,2,396.93,0.0,793.86
ITM-0000121,ORD-2023-000078,PROD-0091,1,104.78,0.0,104.78
ITM-0000122,ORD-2024-000079,PROD-0102,2,426.45,0.0,852.9
ITM-0000123,ORD-2022-000080,PROD-0082,1,99.37,14.91,84.46
ITM-0000124,ORD-2023-000081,PROD-0011,1,63.94,0.0,63.94
ITM-0000125,ORD-2022-000082,PROD-0112,1,147.39,0.0,147.39
ITM-0000126,ORD-2023-000083,PROD-0022,1,1105.33,0.0,1105.33
ITM-0000127,ORD-2023-000083,PROD-0007,1,270.71,0.0,270.71
ITM-0000128,ORD-2023-000084,PROD-0041,1,991.75,148.76,842.99
ITM-0000129,ORD-2023-000085,PROD-0084,1,95.59,0.0,95.59
ITM-0000130,ORD-2023-000086,PROD-0061,1,45.82,4.58,41.24
ITM-0000131,ORD-2024-000087,PROD-0029,1,964.33,0.0,964.33
ITM-0000132,ORD-2024-000087,PROD-0089,1,463.28,0.0,463.28
ITM-0000133,ORD-2023-000088,PROD-0039,1,214.73,0.0,214.73
ITM-0000134,ORD-2024-000089,PROD-0053,1,136.39,13.64,122.75
ITM-0000135,ORD-2022-000090,PROD-0104,1,36.2,0.0,36.2
ITM-0000136,ORD-2024-000091,PROD-0102,3,426.45,127.94,1151.41
ITM-0000137,ORD-2024-000092,PROD-0100,1,1776.0,0.0,1776.0
ITM-0000138,ORD-2024-000092,PROD-0102,1,426.45,0.0,426.45
ITM-0000139,ORD-2022-000093,PROD-0067,2,396.93,0.0,793.86
ITM-0000140,ORD-2024-000094,PROD-0025,1,123.97,0.0,123.97
ITM-0000141,ORD-2022-000095,PROD-0030,1,43.3,0.0,43.3
ITM-0000142,ORD-2022-000095,PROD-0042,3,227.01,0.0,681.03
ITM-0000143,ORD-2022-000095,PROD-0030,1,43.3,0.0,43.3
ITM-0000144,ORD-2022-000095,PROD-0067,1,396.93,39.69,357.24
ITM-0000145,ORD-2024-000096,PROD-0045,1,110.65,0.0,110.65
ITM-0000146,ORD-2023-000097,PROD-0042,3,227.01,102.15,578.88
ITM-0000147,ORD-2022-000098,PROD-0047,1,131.14,19.67,111.47
ITM-0000148,ORD-2024-000099,PROD-0119,1,25.67,0.0,25.67
ITM-0000149,ORD-2024-000099,PROD-0089,1,463.28,0.0,463.28
ITM-0000150,ORD-2022-000100,PROD-0119,1,25.67,0.0,25.67
ITM-0000151,ORD-2024-000101,PROD-0030,1,43.3,0.0,43.3
ITM-0000152,ORD-2023-000102,PROD-0071,1,600.46,0.0,600.46
ITM-0000153,ORD-2023-000102,PROD-0077,1,455.38,0.0,455.38
ITM-0000154,ORD-2023-000102,PROD-0099,1,578.87,0.0,578.87
ITM-0000155,ORD-2024-000103,PROD-0040,1,141.98,0.0,141.98
ITM-0000156,ORD-2023-000104,PROD-0005,1,111.27,0.0,111.27
ITM-0000157,ORD-2022-000105,PROD-0061,1,45.82,0.0,45.82
ITM-0000158,ORD-2023-000106,PROD-0047,1,131.14,0.0,131.14
ITM-0000159,ORD-2022-000107,PROD-0088,1,57.65,0.0,57.65
ITM-0000160,ORD-2024-000108,PROD-0005,1,111.27,0.0,111.27
ITM-0000161,ORD-2023-000109,PROD-0045,1,110.65,11.07,99.58
ITM-0000162,ORD-2024-000110,PROD-0093,1,207.01,0.0,207.01
ITM-0000163,ORD-2024-000110,PROD-0009,1,84.16,8.42,75.74
ITM-0000164,ORD-2023-000111,PROD-0005,1,111.27,0.0,111.27
ITM-0000165,ORD-2023-000111,PROD-0076,1,544.84,0.0,544.84
ITM-0000166,ORD-2024-000112,PROD-0110,1,79.62,0.0,79.62
ITM-0000167,ORD-2022-000113,PROD-0005,4,111.27,222.54,222.54
ITM-0000168,ORD-2022-000114,PROD-0008,1,33.25,0.0,33.25
ITM-0000169,ORD-2024-000115,PROD-0072,1,109.03,10.9,98.13
ITM-0000170,ORD-2023-000116,PROD-0067,1,396.93,0.0,396.93
ITM-0000171,ORD-2024-000117,PROD-0030,1,43.3,0.0,43.3
ITM-0000172,ORD-2022-000118,PROD-0072,5,109.03,0.0,545.15
ITM-0000173,ORD-2024-000119,PROD-0010,1,31.53,0.0,31.53
ITM-0000174,ORD-2023-000120,PROD-0050,1,112.72,0.0,112.72
ITM-0000175,ORD-2024-000121,PROD-0101,1,291.08,29.11,261.97
ITM-0000176,ORD-2023-000122,PROD-0103,1,70.16,0.0,70.16
ITM-0000177,ORD-2023-000123,PROD-0087,1,36.36,0.0,36.36
ITM-0000178,ORD-2023-000124,PROD-0042,1,227.01,0.0,227.01
ITM-0000179,ORD-2023-000125,PROD-0111,1,90.99,0.0,90.99
ITM-0000180,ORD-2022-000126,PROD-0079,1,1257.72,125.77,1131.95
ITM-0000181,ORD-2023-000127,PROD-0047,1,131.14,0.0,131.14
ITM-0000182,ORD-2023-000127,PROD-0051,4,91.76,0.0,367.04
ITM-0000183,ORD-2023-000128,PROD-0095,1,1388.88,0.0,1388.88
ITM-0000184,ORD-2024-000129,PROD-0011,2,63.94,12.79,115.09
ITM-0000185,ORD-2023-000130,PROD-0034,5,141.01,0.0,705.05
ITM-0000186,ORD-2022-000131,PROD-0024,1,615.71,0.0,615.71
ITM-0000187,ORD-2022-000132,PROD-0030,1,43.3,0.0,43.3
ITM-0000188,ORD-2024-000133,PROD-0024,3,615.71,184.71,1662.42
ITM-0000189,ORD-2024-000133,PROD-0042,1,227.01,0.0,227.01
ITM-0000190,ORD-2022-000134,PROD-0071,1,600.46,0.0,600.46
ITM-0000191,ORD-2023-000135,PROD-0012,1,996.63,149.49,847.14
ITM-0000192,ORD-2022-000136,PROD-0022,1,1105.33,552.66,552.67
ITM-0000193,ORD-2024-000137,PROD-0076,1,544.84,54.48,490.36
ITM-0000194,ORD-2024-000137,PROD-0072,1,109.03,0.0,109.03
ITM-0000195,ORD-2024-000137,PROD-0079,1,1257.72,0.0,1257.72
ITM-0000196,ORD-2023-000138,PROD-0030,1,43.3,0.0,43.3
ITM-0000197,ORD-2022-000139,PROD-0104,1,36.2,0.0,36.2
ITM-0000198,ORD-2022-000140,PROD-0098,1,78.86,0.0,78.86
ITM-0000199,ORD-2023-000141,PROD-0040,1,141.98,0.0,141.98
ITM-0000200,ORD-2023-000141,PROD-0007,1,270.71,0.0,270.71
ITM-0000201,ORD-2023-000141,PROD-0089,1,463.28,0.0,463.28
ITM-0000202,ORD-2023-000141,PROD-0039,1,214.73,0.0,214.73
ITM-0000203,ORD-2023-000141,PROD-0030,1,43.3,0.0,43.3
ITM-0000204,ORD-2024-000142,PROD-0052,1,552.66,55.27,497.39
ITM-0000205,ORD-2024-000142,PROD-0078,1,379.23,0.0,379.23
ITM-0000206,ORD-2024-000143,PROD-0061,1,45.82,0.0,45.82
ITM-0000207,ORD-2024-000143,PROD-0078,1,379.23,0.0,379.23
ITM-0000208,ORD-2024-000144,PROD-0101,1,291.08,0.0,291.08
ITM-0000209,ORD-2022-000145,PROD-0037,3,126.82,0.0,380.46
ITM-0000210,ORD-2022-000145,PROD-0091,2,104.78,0.0,209.56
ITM-0000211,ORD-2024-000146,PROD-0009,1,84.16,0.0,84.16
ITM-0000212,ORD-2024-000146,PROD-0020,1,74.18,11.13,63.05
ITM-0000213,ORD-2022-000147,PROD-0066,1,345.79,0.0,345.79
ITM-0000214,ORD-2023-000148,PROD-0039,1,214.73,32.21,182.52
ITM-0000215,ORD-2023-000148,PROD-0061,1,45.82,0.0,45.82
ITM-0000216,ORD-2024-000149,PROD-0119,1,25.67,12.84,12.83
ITM-0000217,ORD-2023-000150,PROD-0036,1,69.89,0.0,69.89
ITM-0000218,ORD-2023-000150,PROD-0005,1,111.27,0.0,111.27
ITM-0000219,ORD-2023-000151,PROD-0015,1,141.36,0.0,141.36
ITM-0000220,ORD-2023-000151,PROD-0007,1,270.71,0.0,270.71
ITM-0000221,ORD-2024-000152,PROD-0076,1,544.84,0.0,544.84
ITM-0000222,ORD-2022-000153,PROD-0115,1,449.64,0.0,449.64
ITM-0000223,ORD-2023-000154,PROD-0072,1,109.03,0.0,109.03
ITM-0000224,ORD-2023-000155,PROD-0089,1,463.28,0.0,463.28
ITM-0000225,ORD-2022-000156,PROD-0112,1,147.39,29.48,117.91
ITM-0000226,ORD-2024-000157,PROD-0048,1,52.23,0.0,52.23
ITM-0000227,ORD-2024-000157,PROD-0008,1,33.25,0.0,33.25
ITM-0000228,ORD-2024-000157,PROD-0081,1,681.24,0.0,681.24
ITM-0000229,ORD-2023-000158,PROD-0025,1,123.97,61.98,61.99
ITM-0000230,ORD-2023-000159,PROD-0108,1,190.86,0.0,190.86
ITM-0000231,ORD-2022-000160,PROD-0034,1,141.01,0.0,141.01
ITM-0000232,ORD-2022-000161,PROD-0041,5,991.75,0.0,4958.75
ITM-0000233,ORD-2022-000161,PROD-0048,1,52.23,0.0,52.23
ITM-0000234,ORD-2022-000161,PROD-0098,1,78.86,0.0,78.86
ITM-0000235,ORD-2022-000162,PROD-0036,1,69.89,0.0,69.89
ITM-0000236,ORD-2022-000162,PROD-0054,1,198.57,0.0,198.57
ITM-0000237,ORD-2024-000163,PROD-0079,1,1257.72,0.0,1257.72
ITM-0000238,ORD-2024-000163,PROD-0082,5,99.37,0.0,496.85
ITM-0000239,ORD-2024-000163,PROD-0010,1,31.53,0.0,31.53
ITM-0000240,ORD-2023-000164,PROD-0068,1,146.26,29.25,117.01
ITM-0000241,ORD-2023-000164,PROD-0028,1,274.65,0.0,274.65
ITM-0000242,ORD-2022-000165,PROD-0068,1,146.26,0.0,146.26
ITM-0000243,ORD-2023-000166,PROD-0089,1,463.28,0.0,463.28
ITM-0000244,ORD-2022-000167,PROD-0120,1,767.77,0.0,767.77
ITM-0000245,ORD-2022-000167,PROD-0030,1,43.3,4.33,38.97
ITM-0000246,ORD-2022-000168,PROD-0063,1,534.07,80.11,453.96
ITM-0000247,ORD-2024-000169,PROD-0082,1,99.37,0.0,99.37
ITM-0000248,ORD-2024-000169,PROD-0102,1,426.45,0.0,426.45
ITM-0000249,ORD-2023-000170,PROD-0008,1,33.25,4.99,28.26
ITM-0000250,ORD-2023-000170,PROD-0008,1,33.25,0.0,33.25
ITM-0000251,ORD-2023-000170,PROD-0091,1,104.78,0.0,104.78
ITM-0000252,ORD-2023-000170,PROD-0072,3,109.03,0.0,327.09
ITM-0000253,ORD-2022-000171,PROD-0078,1,379.23,37.92,341.31
ITM-0000254,ORD-2023-000172,PROD-0042,1,227.01,0.0,227.01
ITM-0000255,ORD-2024-000173,PROD-0119,1,25.67,2.57,23.1
ITM-0000256,ORD-2024-000174,PROD-0025,3,123.97,0.0,371.91
ITM-0000257,ORD-2024-000174,PROD-0057,1,948.33,142.25,806.08
ITM-0000258,ORD-2024-000174,PROD-0110,1,79.62,0.0,79.62
ITM-0000259,ORD-2024-000175,PROD-0018,1,318.69,0.0,318.69
ITM-0000260,ORD-2024-000175,PROD-0119,3,25.67,0.0,77.01
ITM-0000261,ORD-2023-000176,PROD-0052,1,552.66,0.0,552.66
ITM-0000262,ORD-2023-000177,PROD-0085,1,74.58,0.0,74.58
ITM-0000263,ORD-2023-000177,PROD-0036,1,69.89,0.0,69.89
ITM-0000264,ORD-2022-000178,PROD-0117,1,293.11,0.0,293.11
ITM-0000265,ORD-2023-000179,PROD-0054,1,198.57,19.86,178.71
ITM-0000266,ORD-2023-000179,PROD-0072,1,109.03,0.0,109.03
ITM-0000267,ORD-2024-000180,PROD-0034,1,141.01,0.0,141.01
ITM-0000268,ORD-2024-000180,PROD-0032,1,741.49,0.0,741.49
ITM-0000269,ORD-2022-000181,PROD-0082,1,99.37,0.0,99.37
ITM-0000270,ORD-2022-000182,PROD-0013,1,323.93,0.0,323.93
ITM-0000271,ORD-2022-000182,PROD-0024,1,615.71,92.36,523.35
ITM-0000272,ORD-2022-000182,PROD-0004,1,976.94,0.0,976.94
ITM-0000273,ORD-2022-000183,PROD-0071,1,600.46,60.05,540.41
ITM-0000274,ORD-2022-000183,PROD-0072,2,109.03,0.0,218.06
ITM-0000275,ORD-2022-000183,PROD-0091,2,104.78,31.43,178.13
ITM-0000276,ORD-2022-000184,PROD-0099,1,578.87,0.0,578.87
ITM-0000277,ORD-2022-000184,PROD-0030,5,43.3,0.0,216.5
ITM-0000278,ORD-2024-000185,PROD-0082,1,99.37,0.0,99.37
ITM-0000279,ORD-2024-000185,PROD-0009,1,84.16,0.0,84.16
ITM-0000280,ORD-2024-000185,PROD-0119,1,25.67,3.85,21.82
ITM-0000281,ORD-2024-000185,PROD-0089,3,463.28,0.0,1389.84
ITM-0000282,ORD-2024-000185,PROD-0094,1,144.66,28.93,115.73
ITM-0000283,ORD-2024-000186,PROD-0009,1,84.16,0.0,84.16
ITM-0000284,ORD-2024-000186,PROD-0022,1,1105.33,110.53,994.8
ITM-0000285,ORD-2024-000187,PROD-0104,1,36.2,7.24,28.96
ITM-0000286,ORD-2024-000187,PROD-0042,4,227.01,0.0,908.04
ITM-0000287,ORD-2022-000188,PROD-0116,1,101.98,0.0,101.98
ITM-0000288,ORD-2022-000189,PROD-0061,3,45.82,27.49,109.97
ITM-0000289,ORD-2024-000190,PROD-0103,1,70.16,14.03,56.13
ITM-0000290,ORD-2024-000190,PROD-0067,2,396.93,0.0,793.86
ITM-0000291,ORD-2023-000191,PROD-0036,1,69.89,0.0,69.89
ITM-0000292,ORD-2023-000191,PROD-0021,1,59.09,0.0,59.09
ITM-0000293,ORD-2023-000192,PROD-0039,1,214.73,0.0,214.73
ITM-0000294,ORD-2023-000192,PROD-0030,1,43.3,0.0,43.3
ITM-0000295,ORD-2023-000192,PROD-0067,1,396.93,0.0,396.93
ITM-0000296,ORD-2023-000192,PROD-0080,1,21.69,0.0,21.69
ITM-0000297,ORD-2022-000193,PROD-0005,1,111.27,11.13,100.14
ITM-0000298,ORD-2022-000193,PROD-0091,1,104.78,0.0,104.78
ITM-0000299,ORD-2022-000193,PROD-0069,1,139.6,13.96,125.64
ITM-0000300,ORD-2022-000193,PROD-0094,1,144.66,21.7,122.96
ITM-0000301,ORD-2022-000193,PROD-0091,1,104.78,0.0,104.78
ITM-0000302,ORD-2022-000194,PROD-0030,1,43.3,0.0,43.3
ITM-0000303,ORD-2022-000194,PROD-0089,1,463.28,0.0,463.28
ITM-0000304,ORD-2024-000195,PROD-0025,1,123.97,12.4,111.57
ITM-0000305,ORD-2022-000196,PROD-0082,3,99.37,59.62,238.49
ITM-0000306,ORD-2022-000197,PROD-0112,1,147.39,0.0,147.39
ITM-0000307,ORD-2022-000197,PROD-0104,1,36.2,0.0,36.2
ITM-0000308,ORD-2024-000198,PROD-0061,1,45.82,9.16,36.66
ITM-0000309,ORD-2023-000199,PROD-0071,1,600.46,0.0,600.46
ITM-0000310,ORD-2024-000200,PROD-0091,1,104.78,0.0,104.78
ITM-0000311,ORD-2022-000201,PROD-0079,1,1257.72,0.0,1257.72
ITM-0000312,ORD-2022-000202,PROD-0030,1,43.3,0.0,43.3
ITM-0000313,ORD-2022-000202,PROD-0004,1,976.94,0.0,976.94
ITM-0000314,ORD-2022-000203,PROD-0051,2,91.76,36.7,146.82
ITM-0000315,ORD-2022-000203,PROD-0104,2,36.2,0.0,72.4
ITM-0000316,ORD-2022-000203,PROD-0066,1,345.79,0.0,345.79
ITM-0000317,ORD-2022-000204,PROD-0082,1,99.37,0.0,99.37
ITM-0000318,ORD-2022-000205,PROD-0071,1,600.46,0.0,600.46
ITM-0000319,ORD-2023-000206,PROD-0006,1,291.85,0.0,291.85
ITM-0000320,ORD-2023-000207,PROD-0091,3,104.78,31.43,282.91
ITM-0000321,ORD-2023-000207,PROD-0020,1,74.18,0.0,74.18
ITM-0000322,ORD-2024-000208,PROD-0040,1,141.98,0.0,141.98
ITM-0000323,ORD-2024-000208,PROD-0014,1,658.84,0.0,658.84
ITM-0000324,ORD-2024-000209,PROD-0015,1,141.36,0.0,141.36
ITM-0000325,ORD-2024-000209,PROD-0085,1,74.58,0.0,74.58
ITM-0000326,ORD-2024-000210,PROD-0009,1,84.16,42.08,42.08
ITM-0000327,ORD-2024-000210,PROD-0008,1,33.25,6.65,26.6
ITM-0000328,ORD-2024-000210,PROD-0030,4,43.3,0.0,173.2
ITM-0000329,ORD-2024-000210,PROD-0072,2,109.03,21.81,196.25
ITM-0000330,ORD-2024-000211,PROD-0024,1,615.71,0.0,615.71
ITM-0000331,ORD-2024-000212,PROD-0039,3,214.73,0.0,644.19
ITM-0000332,ORD-2024-000212,PROD-0067,1,396.93,0.0,396.93
ITM-0000333,ORD-2022-000213,PROD-0091,1,104.78,0.0,104.78
ITM-0000334,ORD-2023-000214,PROD-0047,1,131.14,19.67,111.47
ITM-0000335,ORD-2024-000215,PROD-0008,1,33.25,0.0,33.25
ITM-0000336,ORD-2023-000216,PROD-0120,1,767.77,0.0,767.77
ITM-0000337,ORD-2023-000216,PROD-0048,1,52.23,0.0,52.23
ITM-0000338,ORD-2022-000217,PROD-0010,1,31.53,0.0,31.53
ITM-0000339,ORD-2022-000218,PROD-0009,1,84.16,16.83,67.33
ITM-0000340,ORD-2022-000219,PROD-0120,1,767.77,0.0,767.77
ITM-0000341,ORD-2024-000220,PROD-0091,1,104.78,0.0,104.78
ITM-0000342,ORD-2024-000221,PROD-0017,1,423.09,211.54,211.55
ITM-0000343,ORD-2024-000222,PROD-0119,1,25.67,3.85,21.82
ITM-0000344,ORD-2024-000222,PROD-0081,1,681.24,0.0,681.24
ITM-0000345,ORD-2023-000223,PROD-0036,1,69.89,0.0,69.89
ITM-0000346,ORD-2024-000224,PROD-0017,1,423.09,84.62,338.47
ITM-0000347,ORD-2024-000224,PROD-0022,1,1105.33,0.0,1105.33
ITM-0000348,ORD-2024-000225,PROD-0116,1,101.98,0.0,101.98
ITM-0000349,ORD-2024-000226,PROD-0076,1,544.84,272.42,272.42
ITM-0000350,ORD-2023-000227,PROD-0040,1,141.98,0.0,141.98
ITM-0000351,ORD-2023-000227,PROD-0071,1,600.46,0.0,600.46
ITM-0000352,ORD-2024-000228,PROD-0045,1,110.65,11.07,99.58
ITM-0000353,ORD-2024-000228,PROD-0108,1,190.86,19.09,171.77
ITM-0000354,ORD-2024-000228,PROD-0054,1,198.57,0.0,198.57
ITM-0000355,ORD-2022-000229,PROD-0022,3,1105.33,1657.99,1658.0
ITM-0000356,ORD-2024-000230,PROD-0040,1,141.98,14.2,127.78
