order_id,customer_id,order_date,ship_date,order_status,ship_mode
ORD-2024-000142,CUST-04884,2024-04-02,2024-04-06,Shipped,Standard
ORD-2024-000143,CUST-03184,2024-01-19,2024-01-21,Delivered,Express
ORD-2024-000144,CUST-00643,2024-08-29,2024-09-02,Delivered,Standard
ORD-2022-000145,CUST-04662,2022-01-14,2022-01-16,Delivered,Express
ORD-2024-000146,CUST-04802,2024-04-20,2024-04-22,Delivered,Express
ORD-2022-000147,CUST-04104,2022-02-28,2022-03-02,Delivered,Express
ORD-2023-000148,CUST-03642,2023-10-07,2023-10-14,Delivered,Standard
ORD-2024-000149,CUST-03841,2024-01-16,2024-01-22,Delivered,Standard
ORD-2023-000150,CUST-04729,2023-06-14,2023-06-19,Delivered,Standard
ORD-2023-000151,CUST-03247,2023-11-06,,Processing,Standard
ORD-2024-000152,CUST-02488,2024-08-12,2024-08-18,Delivered,Standard
ORD-2022-000153,CUST-00573,2022-08-26,2022-09-02,Delivered,Standard
ORD-2023-000154,CUST-04840,2023-10-11,2023-10-14,Delivered,Standard
ORD-2023-000155,CUST-04931,2023-08-17,2023-08-20,Delivered,Standard
ORD-2022-000156,CUST-04619,2022-12-23,2022-12-27,Delivered,Standard
ORD-2024-000157,CUST-02984,2024-02-26,2024-03-01,Delivered,Standard
ORD-2023-000158,CUST-04342,2023-04-22,2023-04-23,Delivered,Next Day
ORD-2023-000159,CUST-03408,2023-03-16,2023-03-20,Delivered,Standard
ORD-2022-000160,CUST-03795,2022-11-05,2022-11-06,Delivered,Next Day
ORD-2022-000161,CUST-04032,2022-12-18,2022-12-21,Delivered,Standard
ORD-2022-000162,CUST-03212,2022-12-24,2022-12-31,Delivered,Standard
ORD-2024-000163,CUST-02137,2024-10-21,,Processing,Standard
ORD-2023-000164,CUST-03332,2023-06-10,2023-06-13,Delivered,Standard
ORD-2022-000165,CUST-02805,2022-07-02,2022-07-06,Delivered,Standard
ORD-2023-000166,CUST-04997,2023-08-30,2023-09-02,Delivered,Standard
ORD-2022-000167,CUST-02474,2022-05-05,2022-05-06,Shipped,Next Day
ORD-2022-000168,CUST-00077,2022-11-20,2022-11-26,Delivered,Standard
ORD-2024-000169,CUST-00009,2024-06-20,2024-06-23,Delivered,Standard
ORD-2023-000170,CUST-01465,2023-12-04,2023-12-09,Delivered,Standard
ORD-2022-000171,CUST-03685,2022-10-15,2022-10-17,Delivered,Express
ORD-2023-000172,CUST-04326,2023-06-20,2023-06-25,Delivered,Standard
ORD-2024-000173,CUST-04971,2024-02-02,2024-02-04,Delivered,Express
ORD-2024-000174,CUST-04082,2024-04-19,2024-04-22,Delivered,Standard
ORD-2024-000175,CUST-02860,2024-08-11,2024-08-16,Delivered,Standard
ORD-2023-000176,CUST-02870,2023-10-12,2023-10-17,Shipped,Standard
ORD-2023-000177,CUST-00349,2023-12-09,2023-12-11,Delivered,Express
ORD-2022-000178,CUST-04988,2022-11-04,,Cancelled,Standard
ORD-2023-000179,CUST-03664,2023-11-09,2023-11-11,Delivered,Express
ORD-2024-000180,CUST-00642,2024-11-19,2024-11-25,Delivered,Standard
ORD-2022-000181,CUST-01009,2022-02-25,2022-03-02,Returned,Standard
ORD-2022-000182,CUST-00511,2022-08-20,2022-08-22,Delivered,Express
ORD-2022-000183,CUST-02441,2022-12-11,2022-12-17,Delivered,Standard
ORD-2022-000184,CUST-00031,2022-02-18,2022-02-20,Delivered,Express
ORD-2024-000185,CUST-00180,2024-09-28,2024-10-04,Delivered,Standard
ORD-2024-000186,CUST-03471,2024-10-22,2024-10-29,Shipped,Standard
ORD-2024-000187,CUST-01207,2024-07-15,2024-07-17,Delivered,Express
ORD-2022-000188,CUST-03090,2022-04-15,2022-04-18,Delivered,Standard
ORD-2022-000189,CUST-01267,2022-10-05,2022-10-12,Delivered,Standard
ORD-2024-000190,CUST-02279,2024-09-11,2024-09-17,Shipped,Standard
ORD-2023-000191,CUST-02852,2023-11-15,2023-11-20,Shipped,Standard
ORD-2023-000192,CUST-04043,2023-12-21,2023-12-23,Delivered,Express
ORD-2022-000193,CUST-03054,2022-06-03,2022-06-09,Shipped,Standard
ORD-2022-000194,CUST-03772,2022-09-27,2022-09-28,Shipped,Next Day
ORD-2024-000195,CUST-04025,2024-02-14,2024-02-20,Delivered,Standard
ORD-2022-000196,CUST-02090,2022-10-26,2022-10-28,Delivered,Express
ORD-2022-000197,CUST-03517,2022-01-16,2022-01-18,Delivered,Express
ORD-2024-000198,CUST-03107,2024-10-04,2024-10-10,Delivered,Standard
ORD-2023-000199,CUST-02117,2023-04-19,2023-04-20,Delivered,Next Day
ORD-2024-000200,CUST-02802,2024-06-29,2024-06-30,Delivered,Next Day
ORD-2022-000201,CUST-01344,2022-10-03,2022-10-07,Delivered,Standard
ORD-2022-000202,CUST-04289,2022-07-03,2022-07-06,Delivered,Standard
ORD-2022-000203,CUST-03964,2022-12-07,2022-12-10,Delivered,Standard
ORD-2022-000204,CUST-03445,2022-09-03,2022-09-09,Delivered,Standard
ORD-2022-000205,CUST-00892,2022-04-08,2022-04-12,Delivered,Standard
ORD-2023-000206,CUST-00597,2023-12-22,2023-12-29,Returned,Standard
ORD-2023-000207,CUST-04045,2023-10-20,2023-10-22,Delivered,Express
ORD-2024-000208,CUST-02045,2024-09-30,2024-10-02,Delivered,Express
ORD-2024-000209,CUST-00546,2024-04-12,2024-04-15,Delivered,Standard
ORD-2024-000210,CUST-01321,2024-10-03,2024-10-04,Delivered,Next Day
ORD-2024-000211,CUST-02548,2024-04-19,2024-04-23,Delivered,Standard
ORD-2024-000212,CUST-01382,2024-09-30,2024-10-04,Delivered,Standard
ORD-2022-000213,CUST-02490,2022-09-05,2022-09-12,Delivered,Standard
ORD-2023-000214,CUST-03247,2023-02-13,2023-02-20,Delivered,Standard
ORD-2024-000215,CUST-04572,2024-07-15,2024-07-20,Delivered,Standard
ORD-2023-000216,CUST-03705,2023-02-04,2023-02-08,Delivered,Standard
ORD-2022-000217,CUST-02730,2022-01-10,2022-01-12,Delivered,Express
ORD-2022-000218,CUST-00599,2022-11-13,2022-11-18,Delivered,Standard
ORD-2022-000219,CUST-00801,2022-11-21,2022-11-26,Delivered,Standard
ORD-2024-000220,CUST-02480,2024-11-15,2024-11-17,Delivered,Express
ORD-2024-000221,CUST-04416,2024-09-10,2024-09-12,Delivered,Express
ORD-2024-000222,CUST-00377,2024-11-23,2024-11-24,Delivered,Next Day
ORD-2023-000223,CUST-02795,2023-11-11,,Cancelled,Standard
ORD-2024-000224,CUST-01435,2024-05-06,2024-05-11,Delivered,Standard
ORD-2024-000225,CUST-02007,2024-12-20,2024-12-21,Delivered,Next Day
ORD-2024-000226,CUST-04833,2024-12-04,2024-12-11,Delivered,Standard
ORD-2023-000227,CUST-04188,2023-03-14,2023-03-19,Shipped,Standard
ORD-2024-000228,CUST-02255,2024-06-04,2024-06-06,Delivered,Express
ORD-2022-000229,CUST-03820,2022-10-05,2022-10-08,Delivered,Standard
ORD-2024-000230,CUST-00033,2024-05-22,2024-05-24,Delivered,Express
ORD-2022-000231,CUST-01992,2022-06-14,2022-06-21,Delivered,Standard
ORD-2024-000232,CUST-03707,2024-03-20,2024-03-26,Delivered,Standard
ORD-2023-000233,CUST-00731,2023-04-08,2023-04-13,Delivered,Standard
ORD-2022-000234,CUST-04760,2022-10-21,2022-10-27,Delivered,Standard
ORD-2022-000235,CUST-03073,2022-03-31,2022-04-04,Delivered,Standard
ORD-2022-000236,CUST-02859,2022-06-28,2022-07-02,Delivered,Standard
ORD-2024-000237,CUST-03996,2024-03-02,2024-03-09,Delivered,Standard
ORD-2022-000238,CUST-03120,2022-02-11,2022-02-13,Delivered,Express
ORD-2023-000239,CUST-04416,2023-09-06,2023-09-09,Delivered,Standard
ORD-2023-000240,CUST-04792,2023-08-30,,Cancelled,Standard
ORD-2023-000241,CUST-02111,2023-09-19,2023-09-21,Returned,Express
ORD-2022-000242,CUST-00983,2022-11-24,2022-11-28,Shipped,Standard
ORD-2024-000243,CUST-03810,2024-12-29,2025-01-03,Delivered,Standard
ORD-2022-000244,CUST-00072,2022-04-09,2022-04-15,Delivered,Standard
ORD-2024-000245,CUST-04565,2024-04-30,2024-05-03,Delivered,Standard
ORD-2024-000246,CUST-04262,2024-10-24,2024-10-31,Shipped,Standard
ORD-2024-000247,CUST-00782,2024-12-19,2024-12-23,Delivered,Standard
ORD-2023-000248,CUST-04013,2023-11-15,2023-11-21,Delivered,Standard
ORD-2022-000249,CUST-04296,2022-05-13,2022-05-15,Delivered,Express
ORD-2023-000250,CUST-03988,2023-05-30,2023-06-04,Delivered,Standard
ORD-2024-000251,CUST-04280,2024-12-28,2025-01-03,Delivered,Standard
ORD-2024-000252,CUST-04342,2024-03-20,2024-03-22,Delivered,Express
ORD-2023-000253,CUST-04592,2023-08-15,2023-08-18,Delivered,Standard
ORD-2022-000254,CUST-01575,2022-01-25,2022-01-26,Delivered,Next Day
ORD-2023-000255,CUST-02829,2023-05-26,2023-05-30,Delivered,Standard
ORD-2023-000256,CUST-00086,2023-10-27,2023-10-29,Delivered,Express
ORD-2023-000257,CUST-03168,2023-08-11,2023-08-17,Delivered,Standard
ORD-2023-000258,CUST-00871,2023-09-03,2023-09-05,Delivered,Express
ORD-2022-000259,CUST-02647,2022-12-04,2022-12-06,Delivered,Express
ORD-2023-000260,CUST-00711,2023-12-02,2023-12-07,Delivered,Standard
ORD-2022-000261,CUST-04079,2022-07-20,2022-07-22,Delivered,Express
ORD-2023-000262,CUST-04332,2023-02-10,2023-02-16,Delivered,Standard
ORD-2022-000263,CUST-01447,2022-02-28,2022-03-01,Delivered,Next Day
ORD-2022-000264,CUST-03759,2022-09-30,2022-10-07,Delivered,Standard
ORD-2024-000265,CUST-03664,2024-05-26,2024-05-30,Delivered,Standard
ORD-2024-000266,CUST-04383,2024-12-08,2024-12-15,Shipped,Standard
ORD-2022-000267,CUST-00407,2022-09-21,2022-09-26,Shipped,Standard
ORD-2024-000268,CUST-04043,2024-06-23,2024-06-29,Delivered,Standard
ORD-2023-000269,CUST-03875,2023-01-25,2023-01-26,Delivered,Next Day
ORD-2023-000270,CUST-02328,2023-05-07,,Cancelled,Standard
ORD-2022-000271,CUST-04249,2022-01-25,2022-01-31,Delivered,Standard
ORD-2022-000272,CUST-02915,2022-01-25,2022-02-01,Delivered,Standard
ORD-2024-000273,CUST-01587,2024-10-08,2024-10-09,Delivered,Next Day
ORD-2024-000274,CUST-02907,2024-12-05,2024-12-07,Delivered,Express
ORD-2023-000275,CUST-00610,2023-10-04,2023-10-09,Delivered,Standard
ORD-2022-000276,CUST-02247,2022-10-15,2022-10-21,Delivered,Standard
ORD-2024-000277,CUST-02829,2024-12-10,2024-12-15,Delivered,Standard
ORD-2022-000278,CUST-01522,2022-10-17,2022-10-20,Delivered,Standard
ORD-2024-000279,CUST-00478,2024-12-05,2024-12-10,Delivered,Standard
ORD-2023-000280,CUST-03903,2023-04-23,2023-04-24,Delivered,Next Day
ORD-2024-000281,CUST-03857,2024-05-09,2024-05-16,Delivered,Standard
ORD-2022-000282,CUST-04698,2022-11-19,2022-11-24,Shipped,Standard
ORD-2024-000283,CUST-02163,2024-01-25,2024-01-30,Delivered,Standard
ORD-2022-000284,CUST-04518,2022-10-16,2022-10-22,Delivered,Standard
ORD-2023-000285,CUST-03235,2023-10-22,2023-10-29,Delivered,Standard
ORD-2024-000286,CUST-00303,2024-07-02,2024-07-08,Shipped,Standard
ORD-2022-000287,CUST-03349,2022-04-06,2022-04-07,Delivered,Next Day
ORD-2024-000288,CUST-01919,2024-12-28,2025-01-02,Delivered,Standard
ORD-2023-000289,CUST-00892,2023-05-12,2023-05-14,Delivered,Express
ORD-2022-000290,CUST-03541,2022-12-18,2022-12-23,Delivered,Standard
ORD-2023-000291,CUST-02226,2023-03-31,2023-04-04,Delivered,Standard
ORD-2023-000292,CUST-02698,2023-02-23,2023-03-02,Delivered,Standard
ORD-2023-000293,CUST-04879,2023-02-14,2023-02-16,Delivered,Express
ORD-2024-000294,CUST-00101,2024-02-07,2024-02-12,Delivered,Standard
ORD-2024-000295,CUST-03889,2024-11-19,2024-11-25,Delivered,Standard
ORD-2024-000296,CUST-02046,2024-12-16,2024-12-17,Delivered,Next Day
ORD-2022-000297,CUST-02440,2022-09-25,2022-09-27,Shipped,Express
ORD-2024-000298,CUST-03519,2024-08-12,2024-08-14,Delivered,Express
ORD-2024-000299,CUST-04638,2024-11-04,2024-11-07,Delivered,Standard
ORD-2023-000300,CUST-02264,2023-11-25,2023-11-27,Delivered,Express
ORD-2024-000301,CUST-02084,2024-10-19,2024-10-21,Shipped,Express
ORD-2022-000302,CUST-03123,2022-05-05,2022-05-12,Delivered,Standard
ORD-2023-000303,CUST-03335,2023-12-17,2023-12-24,Shipped,Standard
ORD-2022-000304,CUST-00944,2022-11-22,2022-11-24,Delivered,Express
ORD-2024-000305,CUST-02564,2024-06-11,2024-06-18,Delivered,Standard
ORD-2022-000306,CUST-04838,2022-11-03,2022-11-07,Delivered,Standard
ORD-2022-000307,CUST-04854,2022-03-09,2022-03-14,Delivered,Standard
ORD-2024-000308,CUST-03550,2024-01-08,2024-01-13,Shipped,Standard
ORD-2024-000309,CUST-02029,2024-05-17,2024-05-24,Delivered,Standard
ORD-2024-000310,CUST-02157,2024-03-31,2024-04-07,Delivered,Standard
ORD-2022-000311,CUST-00750,2022-12-30,2023-01-01,Delivered,Express
ORD-2022-000312,CUST-01587,2022-10-05,2022-10-11,Delivered,Standard
ORD-2024-000313,CUST-01725,2024-03-19,2024-03-21,Delivered,Express
ORD-2023-000314,CUST-04734,2023-12-21,2023-12-23,Delivered,Express
ORD-2024-000315,CUST-03164,2024-11-20,2024-11-24,Delivered,Standard
ORD-2022-000316,CUST-01285,2022-10-17,2022-10-22,Delivered,Standard
ORD-2022-000317,CUST-03593,2022-01-28,2022-02-02,Delivered,Standard
ORD-2022-000318,CUST-02202,2022-10-10,2022-10-17,Delivered,Standard
ORD-2024-000319,CUST-00757,2024-04-28,2024-05-04,Delivered,Standard
ORD-2024-000320,CUST-00973,2024-11-09,2024-11-14,Delivered,Standard
ORD-2023-000321,CUST-02642,2023-01-05,2023-01-08,Delivered,Standard
ORD-2024-000322,CUST-00539,2024-03-21,2024-03-28,Delivered,Standard
ORD-2022-000323,CUST-03736,2022-12-15,2022-12-21,Delivered,Standard
ORD-2023-000324,CUST-01858,2023-12-05,2023-12-08,Delivered,Standard
ORD-2023-000325,CUST-01226,2023-07-18,2023-07-24,Delivered,Standard
ORD-2024-000326,CUST-00745,2024-11-06,2024-11-11,Delivered,Standard
ORD-2024-000327,CUST-01945,2024-12-20,2024-12-24,Delivered,Standard
ORD-2023-000328,CUST-00708,2023-10-17,2023-10-20,Delivered,Standard
ORD-2023-000329,CUST-04575,2023-10-19,2023-10-24,Delivered,Standard
ORD-2022-000330,CUST-04939,2022-09-25,2022-09-27,Delivered,Express
ORD-2024-000331,CUST-00425,2024-09-14,2024-09-20,Delivered,Standard
ORD-2022-000332,CUST-01452,2022-08-23,2022-08-25,Delivered,Express
ORD-2022-000333,CUST-02696,2022-12-20,2022-12-22,Delivered,Express
ORD-2023-000334,CUST-02913,2023-02-20,2023-02-24,Delivered,Standard
ORD-2024-000335,CUST-03666,2024-12-12,2024-12-16,Delivered,Standard
ORD-2024-000336,CUST-02103,2024-03-01,2024-03-04,Delivered,Standard
ORD-2024-000337,CUST-04002,2024-07-08,2024-07-12,Delivered,Standard
ORD-2023-000338,CUST-00397,2023-10-14,2023-10-20,Delivered,Standard
ORD-2022-000339,CUST-03523,2022-10-09,2022-10-11,Delivered,Express
ORD-2024-000340,CUST-03213,2024-11-23,2024-11-28,Delivered,Standard
ORD-2023-000341,CUST-02435,2023-12-04,2023-12-07,Delivered,Standard
ORD-2022-000342,CUST-04381,2022-06-14,2022-06-15,Delivered,Next Day
ORD-2023-000343,CUST-04260,2023-12-19,2023-12-25,Delivered,Standard
ORD-2024-000344,CUST-02197,2024-09-08,2024-09-15,Delivered,Standard
ORD-2024-000345,CUST-01348,2024-12-09,2024-12-11,Delivered,Express
ORD-2023-000346,CUST-00735,2023-12-22,2023-12-29,Delivered,Standard
ORD-2022-000347,CUST-04560,2022-09-26,2022-10-01,Shipped,Standard
ORD-2024-000348,CUST-03616,2024-07-17,2024-07-20,Delivered,Standard
ORD-2022-000349,CUST-02922,2022-11-23,2022-11-29,Shipped,Standard
ORD-2023-000350,CUST-02784,2023-11-08,2023-11-14,Delivered,Standard
ORD-2024-000351,CUST-03534,2024-10-13,2024-10-20,Delivered,Standard
ORD-2023-000352,CUST-02446,2023-08-13,2023-08-18,Delivered,Standard
